message,label
"J'adore cette application !",positif
"C’est génial !",positif
"Très utile, merci.",positif
"Je déteste ça.",négatif
"C’est nul.",négatif
"Service horrible.",négatif
"Super expérience !",positif
"Je ne suis pas content.",négatif
"Franchement top.",positif
"Très mauvaise app.",négatif
"Je recommande fortement !",positif
"Je t’aime pas.",négatif
"Incroyable travail, j’adore.",positif
"Je suis vraiment déçu.",négatif
"Bravo l’équipe !",positif
"Perte de temps.",négatif
"Je ne recommande pas.",négatif
"Merci infiniment.",positif
"C’est une catastrophe.",négatif
"Génial, continuez ainsi.",positif
"Service client nul.",négatif
"Application lente et bugée.",négatif
"Je suis ravi, très pratique.",positif
"Interface intuitive et rapide.",positif
"Expérience catastrophique.",négatif
"Trop bien pensé, bravo.",positif
"Je n’aime pas du tout.",négatif
"Top qualité, rien à dire.",positif
"Décevant du début à la fin.",négatif
"Je suis très satisfait.",positif
"Une honte, sérieux...",négatif
"Très bon service, merci !",positif
"J’ai perdu mon temps.",négatif
"Excellente expérience utilisateur.",positif
"Application inutilisable.",négatif
"Super fluide et agréable.",positif
"Rien ne fonctionne.",négatif
"Un pur plaisir à utiliser.",positif
"C’est le pire service.",négatif
"Vraiment impressionnant.",positif
"Totalement inutile.",négatif
"J’ai adoré, continuez !",positif
"Horrible, je désinstalle.",négatif
"Hyper pratique au quotidien.",positif
"Trop de bugs, très frustrant.",négatif
"Simple et efficace.",positif
"Je suis très en colère.",négatif
"C’est parfait comme ça.",positif
"Je regrette de l’avoir installée.",négatif
"Bravo, très bien conçu.",positif
